skin_tone,hair_color,lip_color,eye_color,age,season,dress_shade,lip_shade
medium,light brown,red,brown,29,spring,neutral,nude
deep,black,pink,blue,24,spring,bright,berry
ebony,dark brown,burgundy,blue,38,winter,jewel tones,plum
olive,chestnut,coral,gray,17,winter,vibrant colors,berry
olive,dark brown,mauve,brown,68,spring,jewel tones,rose
olive,blonde,purple,turquoise,64,spring,neutral,nude
tan,black,burgundy,green,32,summer,muted,mauve
light,red,red,black,39,spring,neutral,nude
ivory,light brown,peach,gray,66,fall,pastel,peach
light,brown,plum,turquoise,30,spring,muted,plum
dark,light brown,burgundy,amber,45,fall,vibrant colors,plum
ivory,chestnut,purple,amber,69,fall,vibrant colors,berry
light,auburn,plum,blue,65,summer,muted,plum
tan,brown,coral,violet,17,winter,vibrant colors,red
dark,chestnut,burgundy,blue,61,summer,vibrant colors,plum
tan,blonde,burgundy,blue,31,winter,earth tones,berry
dark,black,burgundy,violet,25,winter,bright,berry
tan,gray,pink,violet,56,spring,neon,cherry
olive,brown,burgundy,turquoise,21,fall,earth tones,rose
light,platinum,coral,violet,69,spring,neutral,peach
ebony,blonde,red,teal,50,spring,jewel tones,berry
ebony,brown,pink,turquoise,56,winter,earth tones,berry
olive,light brown,red,blue,32,summer,vibrant colors,berry
olive,light brown,pink,brown,17,fall,vibrant colors,red
tan,brown,coral,amber,68,fall,jewel tones,berry
dark,blonde,burgundy,blue,37,winter,muted,mauve
ivory,black,nude,gray,51,spring,neutral,peach
porcelain,brown,pink,turquoise,44,spring,jewel tones,mauve
olive,blonde,pink,amber,63,fall,vibrant colors,berry
fair,blonde,purple,hazel,41,summer,pastel,nude
ivory,light brown,nude,hazel,55,summer,pastel,peach
fair,brown,coral,gray,32,summer,pastel,nude
ivory,blonde,nude,amber,16,summer,pastel,peach
porcelain,light brown,purple,hazel,49,winter,jewel tones,rose
dark,light brown,brown,hazel,19,spring,neon,red
deep,chestnut,plum,brown,23,fall,monochrome,red
dark,dark brown,plum,violet,69,summer,bright,plum
porcelain,chestnut,purple,teal,35,summer,neon,berry
tan,chestnut,burgundy,turquoise,25,summer,vibrant colors,berry
ivory,platinum,red,gray,49,spring,jewel tones,rose
dark,red,burgundy,brown,38,spring,earth tones,plum
fair,dark brown,peach,green,52,fall,jewel tones,mauve
deep,auburn,mauve,blue,52,winter,vibrant colors,plum
fair,black,purple,blue,48,fall,metallic,bronze
fair,brown,coral,turquoise,49,spring,pastel,coral
porcelain,brown,plum,blue,35,fall,muted,mauve
deep,red,red,violet,47,fall,earth tones,berry
deep,black,brown,hazel,58,summer,jewel tones,plum
light,chestnut,plum,black,22,fall,monochrome,mauve
deep,platinum,coral,brown,17,spring,monochrome,plum
porcelain,brown,mauve,violet,58,winter,muted,plum
dark,brown,plum,turquoise,68,fall,earth tones,plum
fair,blonde,peach,hazel,65,spring,pastel,peach
dark,auburn,mauve,green,55,spring,vibrant colors,plum
ebony,brown,burgundy,violet,22,winter,vibrant colors,red
deep,dark brown,nude,blue,42,spring,vibrant colors,berry
ivory,brown,burgundy,amber,62,winter,pastel,peach
dark,light brown,red,teal,45,summer,neutral,nude
ivory,blonde,mauve,green,42,winter,jewel tones,mauve
medium,blonde,brown,gray,24,spring,earth tones,rose
deep,platinum,nude,blue,59,summer,muted,mauve
medium,dark brown,red,green,42,winter,jewel tones,red
light,brown,pink,brown,56,winter,jewel tones,berry
dark,red,pink,black,48,fall,earth tones,rose
light,red,peach,hazel,49,winter,jewel tones,rose
dark,red,purple,violet,53,winter,bright,berry
ebony,chestnut,peach,green,65,summer,muted,plum
dark,red,plum,blue,38,summer,earth tones,plum
light,platinum,brown,black,29,fall,pastel,nude
dark,platinum,brown,brown,25,winter,muted,bronze
medium,blonde,peach,gray,55,fall,vibrant colors,berry
tan,light brown,mauve,blue,25,winter,earth tones,rose
olive,auburn,plum,gray,54,fall,jewel tones,rose
medium,brown,red,teal,62,summer,vibrant colors,berry
ebony,brown,plum,violet,51,spring,earth tones,rose
medium,brown,red,turquoise,42,fall,jewel tones,rose
tan,dark brown,red,blue,18,winter,vibrant colors,red
medium,light brown,nude,violet,45,fall,neutral,nude
porcelain,blonde,coral,violet,27,winter,pastel,coral
tan,brown,mauve,violet,28,summer,vibrant colors,cherry
deep,black,pink,teal,24,winter,vibrant colors,plum
olive,red,nude,violet,37,fall,vibrant colors,berry
dark,dark brown,burgundy,turquoise,36,summer,bright,berry
medium,red,purple,green,56,fall,neutral,nude
medium,platinum,brown,brown,24,summer,neon,bronze
deep,dark brown,brown,black,27,spring,vibrant colors,red
ivory,gray,coral,blue,27,fall,neutral,nude
porcelain,black,burgundy,teal,57,fall,monochrome,peach
porcelain,brown,pink,black,31,summer,pastel,peach
tan,chestnut,plum,teal,58,summer,neutral,nude
ivory,platinum,brown,black,30,summer,pastel,coral
ivory,black,red,hazel,45,winter,neutral,peach
deep,auburn,red,amber,65,summer,vibrant colors,plum
light,light brown,red,gray,24,summer,neutral,peach
tan,brown,peach,gray,22,fall,jewel tones,rose
olive,blonde,red,blue,55,winter,vibrant colors,berry
medium,chestnut,brown,teal,19,spring,earth tones,berry
ebony,dark brown,brown,violet,21,summer,vibrant colors,red
light,chestnut,purple,green,41,spring,earth tones,berry
medium,chestnut,red,violet,34,spring,vibrant colors,berry
light,dark brown,peach,gray,22,winter,pastel,nude
fair,gray,red,teal,29,summer,earth tones,rose
light,platinum,nude,teal,24,winter,neutral,nude
medium,blonde,red,green,42,fall,earth tones,rose
dark,platinum,peach,turquoise,35,winter,vibrant colors,red
ebony,blonde,mauve,violet,41,summer,metallic,bronze
fair,light brown,coral,turquoise,29,summer,pastel,nude
ebony,chestnut,nude,teal,40,fall,earth tones,rose
medium,black,peach,amber,21,fall,vibrant colors,berry
light,dark brown,brown,violet,28,fall,pastel,coral
light,dark brown,brown,violet,39,fall,muted,mauve
ebony,brown,pink,black,59,fall,bright,plum
fair,gray,purple,gray,28,fall,metallic,bronze
deep,red,nude,green,48,spring,bright,berry
light,dark brown,pink,brown,43,summer,jewel tones,rose
medium,brown,burgundy,brown,36,winter,earth tones,red
olive,red,purple,amber,26,summer,vibrant colors,red
ebony,light brown,plum,hazel,49,summer,bright,berry
olive,chestnut,brown,violet,26,winter,earth tones,berry
porcelain,black,coral,brown,46,spring,neutral,peach
ebony,brown,burgundy,gray,47,spring,vibrant colors,berry
fair,brown,plum,blue,57,spring,jewel tones,mauve
tan,black,burgundy,black,62,winter,pastel,nude
fair,light brown,red,amber,38,summer,neutral,coral
porcelain,dark brown,pink,gray,36,fall,jewel tones,rose
dark,dark brown,burgundy,turquoise,38,summer,vibrant colors,berry
tan,dark brown,peach,amber,48,spring,earth tones,red
tan,red,red,blue,31,summer,earth tones,berry
deep,light brown,red,blue,29,winter,pastel,nude
medium,chestnut,purple,violet,41,summer,neutral,rose
ivory,red,coral,brown,56,winter,earth tones,mauve
deep,brown,nude,amber,31,winter,vibrant colors,red
ivory,light brown,mauve,gray,27,spring,jewel tones,rose
medium,dark brown,red,amber,17,fall,earth tones,rose
fair,platinum,burgundy,brown,60,spring,pastel,peach
dark,red,brown,green,68,fall,earth tones,plum
fair,auburn,brown,blue,23,spring,jewel tones,berry
ivory,blonde,mauve,brown,64,spring,neutral,peach
light,gray,brown,amber,52,fall,pastel,nude
ebony,chestnut,pink,gray,66,spring,vibrant colors,plum
porcelain,gray,peach,blue,64,spring,jewel tones,berry
fair,dark brown,pink,turquoise,35,summer,jewel tones,mauve
dark,dark brown,pink,black,41,winter,vibrant colors,plum
deep,auburn,pink,black,22,spring,earth tones,plum
ebony,brown,plum,green,27,spring,earth tones,plum
light,blonde,purple,black,56,winter,jewel tones,rose
tan,red,burgundy,violet,43,spring,neutral,rose
ebony,light brown,purple,gray,45,summer,muted,plum
ebony,brown,nude,blue,69,spring,earth tones,plum
porcelain,light brown,brown,blue,46,summer,jewel tones,berry
fair,light brown,peach,amber,53,fall,jewel tones,berry
light,chestnut,peach,gray,47,winter,bright,red
medium,black,brown,blue,62,spring,earth tones,berry
ivory,light brown,mauve,hazel,38,summer,neutral,coral
deep,light brown,pink,hazel,49,spring,pastel,nude
dark,platinum,red,blue,36,spring,earth tones,plum
tan,platinum,pink,black,18,summer,neutral,rose
fair,red,nude,black,41,winter,jewel tones,rose
light,dark brown,coral,teal,19,winter,jewel tones,mauve
ebony,brown,brown,turquoise,31,summer,earth tones,plum
ivory,auburn,pink,teal,54,fall,pastel,nude
light,light brown,peach,blue,59,fall,jewel tones,berry
fair,gray,purple,turquoise,63,spring,pastel,coral
tan,platinum,purple,blue,32,spring,monochrome,bronze
olive,brown,coral,brown,57,spring,jewel tones,red
ivory,gray,burgundy,violet,36,summer,neon,bronze
light,light brown,purple,green,62,fall,pastel,nude
dark,red,red,gray,49,winter,vibrant colors,red
porcelain,platinum,red,black,60,fall,neutral,nude
olive,auburn,brown,turquoise,42,summer,jewel tones,berry
olive,red,mauve,gray,22,fall,neutral,nude
deep,red,peach,violet,53,winter,vibrant colors,red
fair,gray,brown,blue,58,summer,vibrant colors,red
tan,chestnut,burgundy,blue,30,winter,neutral,coral
ivory,platinum,nude,violet,61,fall,pastel,nude
deep,dark brown,pink,hazel,15,winter,vibrant colors,red
light,black,pink,green,60,spring,metallic,bronze
dark,red,plum,gray,37,spring,vibrant colors,plum
ebony,dark brown,pink,hazel,18,summer,bright,berry
light,red,pink,violet,69,summer,earth tones,mauve
deep,black,nude,amber,51,summer,jewel tones,rose
medium,dark brown,coral,violet,48,spring,earth tones,red
porcelain,blonde,coral,brown,23,spring,neutral,nude
ebony,platinum,red,amber,28,winter,bright,red
fair,chestnut,burgundy,gray,40,fall,muted,plum
medium,brown,mauve,blue,20,winter,earth tones,berry
ivory,red,nude,turquoise,62,summer,neutral,peach
ivory,blonde,purple,amber,26,fall,neutral,coral
ebony,chestnut,purple,violet,29,spring,vibrant colors,berry
ebony,black,plum,violet,62,summer,bright,berry
ivory,platinum,purple,violet,63,winter,neutral,nude
dark,platinum,burgundy,teal,15,summer,neon,peach
tan,blonde,plum,black,42,fall,vibrant colors,red
ebony,light brown,burgundy,brown,46,summer,neutral,nude
light,dark brown,burgundy,violet,56,spring,pastel,coral
ivory,auburn,coral,hazel,54,fall,pastel,nude
light,blonde,red,gray,66,winter,neutral,coral
deep,platinum,purple,amber,28,fall,metallic,mauve
ivory,gray,brown,green,55,fall,vibrant colors,berry
medium,brown,purple,black,41,spring,jewel tones,red
fair,black,mauve,amber,58,fall,muted,plum
deep,platinum,nude,hazel,50,winter,pastel,peach
dark,brown,peach,gray,38,spring,earth tones,rose
porcelain,platinum,purple,teal,29,spring,pastel,nude
olive,black,pink,green,23,summer,muted,bronze
deep,auburn,plum,violet,40,spring,earth tones,plum
dark,light brown,purple,violet,17,summer,earth tones,berry
ivory,dark brown,plum,green,56,spring,jewel tones,rose
fair,red,peach,hazel,58,fall,earth tones,mauve
olive,blonde,plum,gray,18,winter,earth tones,red
light,black,red,hazel,20,winter,neutral,coral
ivory,dark brown,red,violet,59,summer,pastel,nude
light,chestnut,coral,green,53,spring,neutral,nude
dark,light brown,purple,gray,60,winter,neutral,coral
tan,chestnut,burgundy,violet,34,winter,earth tones,berry
ebony,chestnut,plum,brown,53,spring,bright,red
light,gray,nude,violet,47,fall,jewel tones,rose
deep,light brown,nude,turquoise,33,winter,jewel tones,plum
porcelain,brown,brown,brown,62,winter,muted,mauve
porcelain,light brown,nude,teal,37,fall,jewel tones,mauve
olive,brown,pink,blue,34,winter,vibrant colors,red
tan,dark brown,nude,hazel,37,spring,jewel tones,red
fair,auburn,nude,teal,45,summer,jewel tones,berry
light,brown,pink,hazel,65,fall,muted,bronze
fair,brown,plum,green,42,winter,jewel tones,mauve
olive,blonde,mauve,violet,52,winter,earth tones,rose
ivory,platinum,peach,black,24,winter,jewel tones,rose
dark,black,plum,violet,48,winter,vibrant colors,red
medium,brown,pink,gray,59,spring,vibrant colors,berry
light,gray,plum,turquoise,45,summer,jewel tones,berry
light,gray,peach,gray,32,winter,jewel tones,mauve
porcelain,gray,pink,black,39,fall,jewel tones,mauve
light,auburn,coral,blue,68,summer,pastel,nude
porcelain,light brown,red,turquoise,15,winter,neutral,peach
deep,black,nude,violet,42,spring,bright,red
ebony,red,red,black,43,summer,vibrant colors,plum
light,light brown,pink,violet,15,spring,jewel tones,mauve
ivory,brown,burgundy,green,34,spring,pastel,coral
olive,black,coral,gray,15,winter,pastel,rose
ivory,dark brown,brown,brown,53,fall,muted,mauve
ivory,blonde,pink,green,45,summer,pastel,coral
medium,blonde,mauve,brown,53,spring,neutral,coral
medium,gray,peach,blue,53,spring,vibrant colors,cherry
medium,platinum,brown,blue,44,fall,metallic,plum
porcelain,brown,mauve,turquoise,33,fall,jewel tones,rose
olive,auburn,peach,violet,35,fall,jewel tones,rose
olive,blonde,red,turquoise,22,winter,vibrant colors,berry
fair,chestnut,nude,turquoise,48,summer,metallic,bronze
ivory,black,peach,gray,61,summer,earth tones,berry
tan,light brown,mauve,violet,43,winter,earth tones,berry
light,brown,red,green,39,winter,pastel,nude
ivory,platinum,red,hazel,34,fall,pastel,peach
light,chestnut,peach,black,55,winter,pastel,peach
fair,chestnut,peach,gray,52,spring,bright,cherry
tan,dark brown,pink,green,46,summer,jewel tones,red
olive,light brown,peach,green,20,summer,neutral,peach
fair,platinum,peach,teal,49,winter,pastel,peach
deep,auburn,red,blue,19,spring,vibrant colors,plum
deep,gray,red,brown,18,winter,vibrant colors,red
dark,dark brown,brown,amber,54,summer,vibrant colors,red
dark,black,red,black,48,spring,jewel tones,rose
medium,chestnut,nude,violet,47,spring,earth tones,red
dark,red,brown,black,27,spring,earth tones,rose
ebony,brown,nude,green,58,fall,bright,red
tan,red,brown,turquoise,33,spring,neutral,coral
medium,red,red,gray,54,winter,earth tones,red
deep,black,plum,violet,33,winter,bright,berry
fair,gray,pink,turquoise,38,summer,monochrome,peach
ivory,red,plum,hazel,47,winter,earth tones,rose
deep,blonde,brown,hazel,47,spring,neon,plum
olive,red,brown,green,27,summer,vibrant colors,berry
tan,red,pink,teal,44,fall,neutral,coral
ivory,platinum,brown,blue,47,fall,neutral,nude
ebony,platinum,burgundy,brown,67,summer,bright,berry
deep,platinum,mauve,gray,59,summer,neutral,nude
porcelain,black,pink,green,52,summer,pastel,coral
medium,blonde,nude,hazel,51,summer,earth tones,red
ebony,light brown,plum,blue,17,winter,neon,berry
fair,platinum,plum,amber,62,spring,jewel tones,mauve
dark,chestnut,red,gray,21,spring,neutral,peach
light,red,peach,violet,60,winter,neutral,coral
dark,chestnut,nude,gray,65,summer,neutral,coral
porcelain,red,brown,hazel,46,spring,jewel tones,berry
medium,red,red,gray,35,summer,earth tones,berry
olive,light brown,burgundy,blue,36,winter,neutral,rose
ebony,dark brown,peach,brown,16,summer,vibrant colors,red
ebony,auburn,pink,brown,45,summer,bright,berry
light,platinum,purple,hazel,22,fall,neutral,peach
deep,blonde,peach,turquoise,40,fall,pastel,berry
ivory,dark brown,burgundy,green,16,summer,muted,bronze
medium,auburn,plum,turquoise,64,winter,jewel tones,rose
deep,platinum,mauve,violet,66,fall,neon,nude
deep,dark brown,pink,teal,68,fall,bright,red
deep,auburn,nude,gray,69,fall,earth tones,plum
ebony,auburn,pink,violet,47,spring,bright,red
olive,brown,pink,hazel,59,summer,vibrant colors,cherry
fair,blonde,nude,teal,35,fall,pastel,nude
dark,brown,plum,gray,18,fall,earth tones,berry
ivory,light brown,plum,gray,55,fall,neutral,coral
light,auburn,nude,gray,64,spring,muted,bronze
tan,platinum,purple,violet,40,spring,neutral,nude
ivory,red,plum,violet,38,winter,neutral,nude
tan,brown,mauve,blue,21,summer,vibrant colors,cherry
light,black,brown,amber,20,spring,monochrome,peach
ebony,chestnut,brown,green,60,spring,pastel,peach
ebony,black,burgundy,gray,19,spring,jewel tones,plum
fair,brown,plum,green,18,winter,pastel,nude
dark,platinum,brown,turquoise,48,spring,bright,berry
medium,blonde,red,teal,49,winter,earth tones,berry
ivory,blonde,coral,black,52,summer,pastel,peach
porcelain,platinum,red,black,51,winter,neutral,coral
olive,light brown,brown,teal,59,fall,earth tones,red
light,chestnut,purple,brown,65,fall,neon,nude
medium,red,brown,violet,69,winter,earth tones,berry
porcelain,red,brown,amber,66,spring,neutral,coral
deep,red,peach,black,69,fall,earth tones,plum
deep,dark brown,nude,blue,37,summer,vibrant colors,red
ebony,auburn,peach,hazel,27,summer,vibrant colors,plum
medium,red,purple,brown,39,fall,earth tones,rose
medium,chestnut,peach,green,58,summer,vibrant colors,berry
ivory,gray,purple,turquoise,22,spring,muted,mauve
olive,blonde,mauve,black,42,fall,vibrant colors,red
fair,platinum,nude,violet,36,fall,jewel tones,mauve
dark,blonde,red,violet,50,fall,monochrome,nude
olive,red,burgundy,teal,25,fall,vibrant colors,cherry
deep,auburn,peach,gray,26,fall,bright,berry
olive,black,peach,brown,26,spring,neon,plum
ebony,blonde,coral,amber,57,winter,metallic,bronze
tan,black,coral,violet,63,spring,neon,coral
tan,dark brown,pink,amber,25,summer,earth tones,red
olive,platinum,plum,blue,17,spring,neutral,rose
olive,dark brown,peach,black,50,spring,jewel tones,rose
ebony,black,burgundy,violet,27,spring,jewel tones,plum
ivory,blonde,plum,blue,35,winter,neutral,nude
tan,dark brown,pink,green,35,fall,vibrant colors,cherry
deep,light brown,peach,amber,42,summer,muted,plum
ebony,dark brown,nude,violet,68,summer,vibrant colors,red
ivory,red,coral,hazel,56,fall,earth tones,mauve
porcelain,light brown,peach,blue,47,spring,neutral,peach
porcelain,chestnut,burgundy,hazel,15,spring,vibrant colors,berry
ivory,light brown,burgundy,turquoise,68,summer,jewel tones,rose
light,brown,pink,green,65,winter,pastel,nude
porcelain,platinum,mauve,gray,17,summer,pastel,nude
dark,black,plum,hazel,25,spring,vibrant colors,plum
tan,brown,peach,turquoise,41,spring,jewel tones,red
medium,dark brown,nude,blue,35,fall,jewel tones,berry
light,platinum,mauve,blue,21,spring,jewel tones,berry
light,brown,peach,hazel,15,winter,pastel,coral
medium,gray,plum,brown,68,fall,pastel,nude
fair,chestnut,peach,violet,37,summer,bright,cherry
dark,red,plum,hazel,61,fall,earth tones,rose
dark,light brown,mauve,violet,22,summer,metallic,bronze
